"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"070","Carmel","The Falling","25","1986","London","828 014-1","VG+","VG",,,
"071","Carolyne Mas","Mas Hysteria","30","1980","Mercury","6337 163","VG+","VG+",,,
"799","Cat Stevens","Cat Stevens","30","1973","Decca","210.005","NM","VG+",,,
"798","Cat Stevens","The Beginning Series (vol.10) (Best Of)","25","1973","Deram","NDM820","NM","NM",,,
"800","Cat Stevens","Tea For The Tillerman (Gatefold)","25",,"Island","6339020","VG+","VG+",,,
"074","Cat Stevens","Buddha and the Chocolate Box","30","1974","Island","87 801 XOT","VG+","VG+",,,
"075","Cat Stevens","Izitso","30","1977","Island","28 824XOT","NM","VG+",,,
"076","Cat Stevens","Mona Bone Jakon","30","1975","Island","85 687","NM","VG+",,,
"078","Cat Stevens","Numbers","35","1975","Island","89 680GT","NM","VG+",,,
"079","Cat Stevens","Profile","25","1979","Decca","6.24006","VG+","VG",,,
"761","Cat Stevens","Morning Has Broken","40","1981","Island","204 353","NM","NM",,,
"883","Cat Stevens","Greatest Hits","35","1975","Island","89091XOT","VG+","VG+",,,
"080","Chaka Khan","Chaka Khan","30","1982","WB","92.3729-1","VG+","VG+",,,
"081","Champaign","How 'bout Us","25","1981","Columbia","AL37008","VG+","VG",,,
"797","Charles Aznavour","J'Aime Paris","30",,"Telefunken","NT 212","NM","NM",,,
"759","Cher","The Very Best Of","30","1975","United Artists","UAS29 758 Z","NM","NM",,,
"082","Chicago","Chicago IX Chicago's Greatest Hits","20","1975","CBS","BL 33900","VG+","VG",,,
"083","Chicago","XI (Gatefold)","35","1977","CBS","JC 34860","VG+","VG+",,,
"854","Chicago","Hot Streets (Gatefold)","30","1978","CBS","CBS86069","VG+","VG",,,
"855","Chicago","X (Gatefold)","30","1976","CBS","CBS86010","VG+","VG",,,
"084","China Crises","Working with Fire and Steel","25","1983","Virgin","205 798","VG","VG+",,,
"086","Chris De Burgh","Best Moves","30","1981","A&M","AMLH 68532","NM","NM",,,
"087","Chris De Burgh","Crusader","30","1979","A&M","AMLH 64746","VG+","VG+",,,
"088","Chris De Burgh","Far Beyond These Castle Walls","30","1975","A&M","AMNP 112","NM","NM",,,
"089","Chris De Burgh","Into the Light","30","1986","A&M","395 121-1","NM","NM",,,
"090","Chris De Burgh","Man On The Line","30","1984","A&M","AMLX65002","NM","NM",,,
"091","Chris De Burgh","Spanish Train and Other Stories","30","1975","A&M","393 143-1","VG+","VG+",,,
"092","Chris De Burgh","The Getaway","30","1982","A&M","AMLH 68549","NM","NM",,,
"094","Christie","Christie","20","1979","Pronit","SX 0771","VG+","VG+",,,
"095","Christopher Cross","Another Page","25","1983","WB","92.3757-1","VG+","VG+",,,
