"Artist","Album","Pret Lei","An","Casa de discuri (label)","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"Helen Schneider","Back On Track","30","1988","Epic","EPC461167","NM","NM",,,
"Hello","Bravo Präsentiert: Hello","30","1978","Arista","1C 038-61 424","VG+","VG+",,,
"Henry Paul Band","Anytime","25","1982","Atlantic","SD19325","VG+","VG+",,,
"Herb Alpert","Beyond","40","1980","A&M","AMLK63717","NM","NM",,,
"Herb Alpert","Rise","30","1979","A&M","AMLH64790","VG+","VG+",,,
"Herbert Gronemeyer","4630 Bochum","25","1984","EMI","1469051","VG+","VG",,,
"Herbert Gronemeyer","Luxus","25","1990","Electrola","1C 068-7 95068 1","VG+","VG+",,,
"Herman Brood & His Wild Romance","Go Nutz","25","1980","Aves","INT 146.527","VG+","VG+",,,
"Herman's Hermits","Greatest Hits","30","1968","EMIDisc","1C048-50727","NM","VG+",,,
"Hi-Gloss","Hi-Gloss","35","1981","Derby","DBR20282","VG+","VG",,,
"Holly Johnson","Blast","35","1989","MCA","256 395-1","VG+","VG+",,,
"Hot Chocolate","Bravo presentiert: Hot Chocolate","20","1976","RAK","1C 038-98 458","VG+","VG",,,
"Hot Chocolate","Class","25","1980","RAK","1C 074-64 174","VG+","VG+",,,
"Hot Chocolate","Every 1's A Winner","25","1978","RAK","1C 064-60499","VG+","VG+",,,
"Hot Chocolate","Going Through The Motions","25","1979","Infinity Rec.","INF9010","VG+","VG+",,,
"Hot Chocolate","Love Shot","30","1983","RAK","1C 064 1653831","VG+","VG+",,,
"Hot Chocolate","Mystery","25","1982","RAK","064-64933","VG+","VG+",,,
"Hot Chocolate","The Very Best Of","25","1987","Capitol","ST6556","VG+","VG+",,,
"Hot Chocolate","XIV Greatest Hits","25","1976","RAK","1C 062-98228","VG+","VG+",,,
"Howard Jones","Drean Into Action","25","1985","WEA","WX15","VG+","VG",,,
"Huey Lewis and The News","Small World","35","1988","Chrysalis","209 200","VG+","VG+",,,
"Huey Lewis and The News","Hard At Play","35","1991","EMI USA","7 93355 1","NM","NM",,,
"Hugh Cornwell & Robert Williams","Nosferatu","25","1979","UA","UAG30251","VG+","G",,,
"Humpe Humpe","Humpe.Humpe","25","1985","WEA","240 635-1","NM","NM",,,
"Ian Lloyd","Goose Bumps","30","1979","Scotti Brothers","26 14004","NM","NM",,,
"Icehouse","Primitive Man","25","1982","Chrysalis","204 980-320","VG+","VG+",,,
"Icehouse","Sidewalk","25","1984","Chrysalis","206 334","VG+","VG+",,,
"Ike & Tina Turner","Get It Together","15",,"Bellaphon","BI1533","VG+","G",,,
"Imagination","Body Talk","30","1981","F1 Team","LP3345","VG+","VG+",,,
"Imagination","Night Dubbing","25","1983","Ariola","205 443","VG+","VG+",,,
"Iron Butterfly","In-A-Gadda-Da-Vida","20","1968","Atlantic","ATL 40 022","VG","G",,,
"Isao Tomita","Pictures At An Exhibition","25","1975","RCA Victor","APL1-0838","VG","VG",,,
"J.","J.","20","1990","Amiga","8 56 531","VG+","VG",,,
"J. Boss Band","The Wind In Your Face","25","1990","Roxon","ROX7590","VG+","VG+",,,
"Jack Jersey","In The Still Of The Night","30","1974","Imperial","5C 052-24992","VG+","VG+",,,
"Jackson Browne","Hold Out","30","1980","Asylum Rec.","AS 52226","NM","VG+",,,
"Jackson Browne","Running On Empty","35","1977","Asylum","53070","NM","NM",,,
"Jacques Brel","Brel","30","1977","Barclay","0066.034","VG+","G",,,
"James Dean","Sound Track","25","1975","Warner Bros.","WB 56122","NM","VG+",,,
"James Last","Non Stop Dancing 1972","25","1972","Polydor","2371189","VG+","VG+",,,
"James Taylor","Dad Loves His Work","20","1981","CBS","86131","VG","VG+",,,
"Jelly Bean","Rock The House! (2LP)","30","1988","Chrysalis","CJB1-1","VG+","VG+",,,
"Jennifer Rush","Heart Over Mind","35","1987","CBS","450470-1","NM","NM",,,
"Jennifer Rush","Jennifer Rush","30","1984","CBS","CBS26177","VG+","VG",,,
"Jennifer Rush","Movin'","35","1985","CBS","CBS26710","NM","NM",,,
"Jermaine Jackson","Lets Get Serious","30","1980","Motown","1C064-63 370","VG+","VG",,,
"Jerry Harrison","Casual Gods","30","1988","Fontana","832 992-1","VG+","VG+",,,
"Jerry Lee Lewis and Friends","Duets (Yellow Disc)","35","1978","Bellaphon","BBS2568","VG+","VG+",,,
"Jesse Johnson","Every Shade Of Love","25","1988","A&M","395 188-1","VG+","VG",,,
"Jesse's Gang","Center Of Attraction","10","1987","Geffen","GHS 24129","G","G",,,
"Jim Capaldi","Whale Meat Again","25","1974","Island","ILPS9254","VG+","VG+",,,
"Jim Croce","Photographs & Memories","35","1985","Intercord","INT130.103","VG","VG+",,,
"Joan Armatrading","Walk Under Ladders","30","1981","A&M","AMLH64876","VG+","VG+",,,
"Joan Armatrading","Back To The Night","25","1975","A&M","AMNP110","VG+","VG",,,
"Joan Baez","Starparade ","20","1973","Horzu Exclusiv","1C 054-99 479","VG+","VG",,,
"Joan Baez","Greatest Hits","35","1972","Vanguard","C 062-93 522","NM","NM",,,
"Joan Baez","Live Europe 83 - Children Of The Eighties","30","1983","Ariola","205 742","VG+","VG+",,,
"Joan Baez","Ihre schonsten Lieder","25","1982","Vanguard","0062.184","VG+","VG+",,,
"Joan Faulkner& Big Band Ljublijana","Joan Faulkner& Big Band Ljublijana","25","1983","RTV","LD1213","VG+","VG+",,,
"Joe Cocker","Cocker Happy","30",,"Cube","853013","VG+","VG+",,,
"Joe Cocker","I Can Stand A Little Rain","30","1974","Cube","853004","VG+","VG+",,,
"Joe Cocker","Impact","30","1972","Impact","6886 554","VG+","VG+",,,
"Joe Cocker","Luxury You Can Afford","30","1978","Asylum","K53 087","VG+","VG+",,,
"Joe Cocker","Sheffield Steel","30","1982","Island","204 668","VG+","VG+",,,
"Joe Cocker","Cocker","35","1986","Capitol","1C 064 24 0424","NM","NM",,,
"Joe Dolce","Music Theatre","20","1980","Ariola","203 724","VG+","VG+",,,
"Joe's ""Las Vegas"" Big Band","Melodies of Brodway","20",,"Impression","63 025","VG","VG",,,
"John Denver","Die Superhits","25","1979","RCA","PL43048","NM","NM",,,
"John Denver","Dreamland Express","30","1985","RCA","PL85458","VG+","VG+",,,
"John Denver","Greatest Hits vol.3","35","1984","RCA","PL85313","NM","VG+",,,
"John Denver","Rocky Mountain High","35","1972","RCA","LSP4731","NM","VG+",,,
"John Denver","Seine Grossen Erfolge[Greatest Hits](2LP)","30","1978","RCA","PL42468","VG+","VG+",,,
"John Denver","Voice Of America - Best Songs","30","1980","RCA","PL43300","NM","VG+",,,
"John Denver","John Denver's Greatest Hits","20","1973","RCA","CPL1-0374","VG","VG",,,
"John Denver","Back Home Again (Gatefold)","20","1974","RCA","CPL1-0548","VG","VG",,,
"John Farnham","Whispering Jack","25","1986","RCA","PL71224","VG","VG",,,
"John Miles","Rebel","25","1976","London Records","820 080-1","VG+","VG",,,
"John Schneider","Tryin' To Outrun The Wind","10","1985","MCA ","MCA-5583","VG","VG",,,
"John Stewart","Bombs Away Dream Babies","30","1979","RSO","2394-228","VG+","VG+",,,
"John Stewart","Dream Babies Go Hollywood","30","1980","RSO","2394-255","VG+","VG+",,,
"John Wats","One More Twist","30","1982","EMI","064-07609","VG+","VG+",,,
"Johnny and The Hurricanes","You Are My Sunshine","25","1975","Contempo","6.22 103","VG+","VG+",,,
"Johnny Cash","Welcome To Europe","30","1975","CBS","53 658","VG+","VG",,,
"Johnny Cash","Great Songs Of Johnny Cash","30",,"Vintage","F50004","VG+","VG",,,
"Johnny Crash","Neighbourhood Threat","30","1990","Epic","466224 1","VG+","VG+",,,
"Jonathan Butler","More Than Friends","30","1988","Jive","6.26902","NM","NM",,,
"Jorge y Obo - El Duo Flamenco","Decada","30","1987","EDF","EDF – 23087","NM","NM",,,
"Jose Feliciano","Alive Alive-o! Live At London Palladium (2LP)","35","1969","RCA Victor","SF 8084","VG+","VG+",,,
"Jose Feliciano","Angela","30","1976","Private Stock","PS2010","VG+","VG+",,,
"Jose Feliciano","Che Sara","25","1976","RCA-Victor","27 553-7","VG+","VG+",,,
"Jose Feliciano","Jose Feliciano in Concert at the London Palladium","30","1969","RCA Victor","LSP-6021-1","VG+","VG+",,,
"Jose Feliciano","Sings","30","1972","Pickwick","CAS-2563","VG+","VG+",,,
"Jose Feliciano","Sweet Soul Music","25","1976","Private Stock","PVLP1015","VG+","VG+",,,
"Joy Fleming","Joy Fleming (Gatefold)","15","1973","Intercord","26 011-7","VG+","VG+",,,
"Judy Collins","Recollections","15","1969","Elektra","EKS-74055","VG","G",,,
"Jule Neigel Band","Schatten An Der Wand","20","1988","Intercord","INT145.109","NM","NM",,,
"Jule Neigel Band","Wilde Welt","15","1990","Intercord","INT 160.237","VG+","VG+",,,
"Julien Clerc","Les Grandes Chansons","30","1972","Prisma","054 CRY 16051","NM","NM",,,
"Julio Iglesias","De Nina A Mujer (Gatefold)","40","1981","CBS","CBS 85063","NM","NM",,,
"Justin Hayward - John Lodge","Blue Jays (Gatefold)","35","1975","Threshold","6.22 222 (AO)","NM","VG+",,,
"Karel Gott","Heut ist der shonste Tag in meinem Leben","20",,"Amiga","8 55 537","VG+","VG+",,,
"Kate Bush","The Kick Inside","20","1978","EMI","1C064-06 603","VG+","G",,,
"Kevin Johnson","A Man Of The 20th Century","25","1976","Nova","6.2282AS","VG+","VG+",,,
"Kid Creole & The Coconuts","Tropical Gangsters","25","1982","Island","204 669-320","VG+","VG+",,,
"Kim Carnes","Mistaken Identity","30","1981","EMI America","1A 062-400 008","VG+","VG+",,,
"Kim Carnes","Sailin'","30","1976","A&M","AMLE63114","VG+","VG+",,,
"Kim Carnes","Mistaken Identity","35","1981","EMI-Electrola","064-400 008","NM","NM",,,
"Kim Carnes","The Best Of You","35","1982","A&M","393 204-1","NM","NM",,,
"Kim Wilde","Catch As Catch Can","35","1983","RAK","1A 064-1654081","VG+","VG+",,,
"Kincade","Kincade","20","1973","Bellaphon","BLPS19153","VG+","VG+",,,
"King Curtis","Star- Collection","20","1974","Midi","MID K 30047","VG+","VG",,,
"King Swan","Wiseblood","35","1990","Virgin","211 111","VG+","VG+",,,
"Kris Kristofferson","Border Lord","25","1972","Monument","MNT 64963","VG+","VG+",,,
